ID,minflt,majflt,utime,stime,num_threads,vsize,rss,startstack,kstkeip,processor,num_file_desc,rchar,wchar,read_bytes,write_bytes,cancelled_write_bytes
ENTER-org/apache/hadoop/dfs/INodeDirectory$numItemsInTree,31581,0,175,10,12,1351495680,27240,140736256070976,140246638600520,1,33,4170720,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/INodeDirectory$numItemsInTree,31583,0,175,10,12,1351495680,27240,140736256070976,140246638600520,1,33,4171096,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/FSNamesystem$getGenerationStamp,31589,0,175,10,12,1351495680,27240,140736256070976,140246638600520,1,33,4171472,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/GenerationStamp$getStamp,31599,0,175,10,12,1351495680,27240,140736256070976,140246638600520,1,33,4171848,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/GenerationStamp$getStamp,31602,0,175,10,12,1351495680,27240,140736256070976,140246638600520,1,33,4172224,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/FSNamesystem$getGenerationStamp,31606,0,176,10,12,1351495680,27240,140736256070976,140246638600520,1,33,4172600,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/FSImage$saveImage,31723,0,176,10,12,1351495680,27372,140736256070976,140246638600520,1,33,4172976,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/INode$getParent,31808,0,176,10,12,1351495680,27438,140736256070976,140246638600520,1,33,4173352,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/INode$getParent,31810,0,176,10,12,1351495680,27438,140736256070976,140246638600520,1,33,4173728,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/INodeDirectory$getChildren,31810,0,176,10,12,1351495680,27438,140736256070976,140246638600520,1,33,4174104,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/INodeDirectory$getChildren,31810,0,176,10,12,1351495680,27438,140736256070976,140246638600520,1,33,4174480,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/FSImage$saveImage,31870,0,176,10,12,1351495680,27504,140736256070976,140246638600520,1,33,4174856,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/FSNamesystem$saveFilesUnderConstruction,31875,0,176,10,12,1351495680,27504,140736256070976,140246638600520,1,33,4175232,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/FSNamesystem$saveFilesUnderConstruction,31898,0,176,10,12,1351495680,27504,140736256070976,140246638600520,1,33,4180168,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/FSImage$saveFSImage,31906,0,177,10,12,1351495680,27504,140736256070976,140246638600520,1,32,4180544,384,503808,49152,4096
ENTER-org/apache/hadoop/dfs/FSImage$getImageFile,31909,0,177,10,12,1351495680,27504,140736256070976,140246638600520,1,32,4180920,384,503808,49152,4096
ENTER-org/apache/hadoop/dfs/Storage$StorageDirectory$getCurrentDir,31909,0,177,10,12,1351495680,27504,140736256070976,140246638600520,1,32,4181296,384,503808,49152,4096
EXIT-org/apache/hadoop/dfs/Storage$StorageDirectory$getCurrentDir,31909,0,177,11,12,1351495680,27504,140736256070976,140246638600520,1,32,4181672,384,503808,49152,4096
ENTER-org/apache/hadoop/dfs/FSImage$NameNodeFile$getName,31909,0,177,11,12,1351495680,27504,140736256070976,140246638600520,1,32,4182048,384,503808,49152,4096
EXIT-org/apache/hadoop/dfs/FSImage$NameNodeFile$getName,31909,0,177,11,12,1351495680,27504,140736256070976,140246638600520,1,32,4182424,384,503808,49152,4096
EXIT-org/apache/hadoop/dfs/FSImage$getImageFile,31921,0,177,11,12,1351495680,27570,140736256070976,140246638600520,1,32,4182800,384,503808,49152,4096
ENTER-org/apache/hadoop/dfs/FSEditLog$createEditLogFile,31922,0,177,11,12,1351495680,27570,140736256070976,140246638600520,1,32,4183176,384,503808,49152,4096
ENTER-org/apache/hadoop/dfs/FSEditLog$access$000,31932,0,177,11,12,1351495680,27570,140736256070976,140246638600520,1,32,4183552,384,503808,49152,4096
EXIT-org/apache/hadoop/dfs/FSEditLog$access$000,31932,0,177,11,12,1351495680,27570,140736256070976,140246638600520,1,32,4183928,384,503808,49152,4096
ENTER-org/apache/hadoop/dfs/FSEditLog$EditLogOutputStream$create,33563,0,179,11,12,1353244672,28874,140736256070976,140246638600520,1,33,4184304,384,520192,49152,4096
ENTER-org/apache/hadoop/dfs/FSEditLog$EditLogOutputStream$flushAndSync,33781,0,179,11,12,1353244672,29072,140736256070976,140246638600520,1,33,4187187,384,520192,49152,4096
ENTER-org/apache/hadoop/dfs/FSEditLog$EditLogOutputStream$flush,33872,0,180,11,12,1353244672,29138,140736256070976,140246638600520,1,33,4187563,384,520192,49152,4096
ENTER-org/apache/hadoop/dfs/FSEditLog$EditLogOutputStream$getBuffer,34174,0,180,11,12,1353244672,29468,140736256070976,140246638600520,1,33,4196959,384,520192,49152,4096
EXIT-org/apache/hadoop/dfs/FSEditLog$EditLogOutputStream$getBuffer,34229,0,180,11,12,1353244672,29601,140736256070976,140246638600520,1,33,4197335,384,520192,49152,4096
EXIT-org/apache/hadoop/dfs/FSEditLog$EditLogOutputStream$flush,34229,0,180,11,12,1353244672,29601,140736256070976,140246638600520,1,33,4197711,388,520192,53248,4096
EXIT-org/apache/hadoop/dfs/FSEditLog$EditLogOutputStream$flushAndSync,36733,0,189,12,12,1351495680,31235,140736256070976,140246638600520,1,33,4198087,388,520192,53248,4096
EXIT-org/apache/hadoop/dfs/FSEditLog$EditLogOutputStream$create,36733,0,189,12,12,1351495680,31235,140736256070976,140246638600520,1,33,4198463,388,520192,53248,4096
ENTER-org/apache/hadoop/dfs/FSEditLog$EditLogOutputStream$close,36735,0,189,12,12,1351495680,31235,140736256070976,140246638600520,1,33,4198839,388,520192,53248,4096
ENTER-org/apache/hadoop/dfs/FSEditLog$EditLogOutputStream$getBufSize,36735,0,189,12,12,1351495680,31235,140736256070976,140246638600520,1,33,4199215,388,520192,53248,4096
ENTER-org/apache/hadoop/dfs/FSEditLog$EditLogOutputStream$getBuffer,36735,0,189,12,12,1351495680,31235,140736256070976,140246638600520,1,33,4199591,388,520192,53248,4096
EXIT-org/apache/hadoop/dfs/FSEditLog$EditLogOutputStream$getBuffer,36735,0,189,12,12,1351495680,31235,140736256070976,140246638600520,1,33,4199967,388,520192,53248,4096
EXIT-org/apache/hadoop/dfs/FSEditLog$EditLogOutputStream$getBufSize,36735,0,190,12,12,1351495680,31235,140736256070976,140246638600520,1,33,4200343,388,520192,53248,4096
EXIT-org/apache/hadoop/dfs/FSEditLog$EditLogOutputStream$close,36735,0,190,12,12,1351495680,31235,140736256070976,140246638600520,1,32,4200719,388,520192,53248,4096
EXIT-org/apache/hadoop/dfs/FSEditLog$createEditLogFile,36735,0,190,12,12,1351495680,31235,140736256070976,140246638600520,1,32,4201095,388,520192,53248,4096
ENTER-org/apache/hadoop/dfs/Storage$StorageDirectory$write,36735,0,190,12,12,1351495680,31235,140736256070976,140246638600520,1,32,4201471,388,520192,53248,4096
ENTER-org/apache/hadoop/dfs/FSImage$corruptPreUpgradeStorage,36740,0,191,12,12,1351495680,31235,140736256070976,140246638600520,1,32,4201847,388,520192,53248,4096
ENTER-org/apache/hadoop/dfs/Storage$writeCorruptedData,36741,0,191,12,12,1351495680,31235,140736256070976,140246638600520,1,33,4202223,388,520192,53248,4096
EXIT-org/apache/hadoop/dfs/Storage$writeCorruptedData,40932,0,213,12,12,1351495680,33353,140736256070976,140246638600520,1,33,4212975,545,520192,81920,4096
EXIT-org/apache/hadoop/dfs/FSImage$corruptPreUpgradeStorage,40932,0,214,12,12,1351495680,33353,140736256070976,140246638600520,1,32,4213351,545,520192,81920,4096
ENTER-org/apache/hadoop/dfs/Storage$StorageDirectory$getVersionFile,40932,0,214,12,12,1351495680,33353,140736256070976,140246638600520,1,32,4213727,545,520192,81920,4096
EXIT-org/apache/hadoop/dfs/Storage$StorageDirectory$getVersionFile,40932,0,214,12,12,1351495680,33353,140736256070976,140246638600520,1,32,4214103,545,520192,81920,4096
ENTER-org/apache/hadoop/dfs/Storage$StorageDirectory$write,40932,0,214,12,12,1351495680,33353,140736256070976,140246638600520,1,32,4214479,545,520192,81920,4096
ENTER-org/apache/hadoop/dfs/FSImage$setFields,40932,0,214,12,12,1351495680,33353,140736256070976,140246638600520,1,32,4214855,545,520192,81920,4096
ENTER-org/apache/hadoop/dfs/Storage$setFields,40932,0,214,12,12,1351495680,33353,140736256070976,140246638600520,1,32,4215231,545,520192,81920,4096
EXIT-org/apache/hadoop/dfs/Storage$setFields,40932,0,214,12,12,1351495680,33353,140736256070976,140246638600520,1,32,4215607,545,520192,81920,4096
ENTER-org/apache/hadoop/dfs/FSImage$getDistributedUpgradeState,40932,0,214,12,12,1351495680,33353,140736256070976,140246638600520,1,32,4215983,545,520192,81920,4096
ENTER-org/apache/hadoop/dfs/FSNamesystem$getFSNamesystem,40932,0,214,12,12,1351495680,33353,140736256070976,140246638600520,1,32,4216359,545,520192,81920,4096
EXIT-org/apache/hadoop/dfs/FSNamesystem$getFSNamesystem,40932,0,215,12,12,1351495680,33353,140736256070976,140246638600520,1,32,4216735,545,520192,81920,4096
ENTER-org/apache/hadoop/dfs/FSNamesystem$getDistributedUpgradeState,40932,0,215,12,12,1351495680,33353,140736256070976,140246638600520,1,32,4217111,545,520192,81920,4096
ENTER-org/apache/hadoop/dfs/UpgradeManager$getUpgradeState,40932,0,215,12,12,1351495680,33353,140736256070976,140246638600520,1,32,4217487,545,520192,81920,4096
