minflt,majflt,utime,stime,num_threads,vsize,rss,startstack,kstkeip,processor,num_file_desc,rchar,wchar,read_bytes,write_bytes,cancelled_write_bytes
ENTER-org/apache/hadoop/dfs/SerialNumberManager$SerialNumberMap$nextSerialNumber,27877.000000977758,-5.9853138275389739e-05,156.00000009456744,8.9999900940406405,12.000006751172648,1349271552.0,23970.999998423074,140736256070976.0,140246638600520.0,1.0,29.000000283900732,3973141.0000000298,360.00000001024455,503807.99999990582,45055.999999993481,4095.9999999198844
EXIT-org/apache/hadoop/dfs/SerialNumberManager$SerialNumberMap$nextSerialNumber,27879.000000976303,-5.9812762253974583e-05,156.00000009464566,8.9999901000437603,12.000006722319434,1349271552.0,23970.999998424792,140736256070976.0,140246638600520.0,1.0,29.000000283845424,3973516.0000000298,360.00000001024455,503807.99999990582,45055.999999995343,4095.9999999199354
EXIT-org/apache/hadoop/dfs/SerialNumberManager$SerialNumberMap$get,27892.000000966786,-5.9552833620912793e-05,156.00000009496944,8.9999901393384789,12.00000654135858,1349271552.0,23970.999998435815,140736256070976.0,140246638600520.0,1.0,29.000000283476083,3973891.0000000149,360.00000001117587,503807.99999990617,45055.999999994878,4095.9999999203355
EXIT-org/apache/hadoop/dfs/SerialNumberManager$getUserSerialNumber,27892.000000966771,-5.9553659411459847e-05,157.00000009497671,8.9999901391270214,12.00000654042119,1349271552.0,23970.999998435829,140736256070976.0,140246638600520.0,1.0,29.000000283482592,3974266.0000000149,360.00000001047738,503807.99999990617,45055.999999994878,4095.9999999203392
ENTER-org/apache/hadoop/dfs/INode$updatePermissionStatus,27969.000000966262,-5.9488204785074217e-05,158.0000000947548,8.9999901708088146,12.000006625433706,1349271552.0,24036.999998437495,140736256070976.0,140246638600520.0,1.0,29.000000282671465,3978103.0000000298,360.00000001024455,503807.99999990629,45055.999999993946,4095.9999999205575
ENTER-org/apache/hadoop/dfs/INode$PermissionStatusFormat$combine,28172.00000098598,-5.986171775140825e-05,159.00000009333417,8.9999901829651208,12.000007302685667,1349271552.0,24234.999998417945,140736256070976.0,140246638600520.0,1.0,29.000000280974433,3978477.9999999851,360.00000001047738,503807.99999990605,45055.999999994412,4095.9999999202264
EXIT-org/apache/hadoop/dfs/INode$PermissionStatusFormat$combine,28183.000001033884,-6.1117801191779009e-05,160.00000009140967,8.9999900153607086,12.000008311397302,1349271552.0,24300.999998363412,140736256070976.0,140246638600520.0,1.0,29.00000028202976,3978853.0,360.00000000931323,503807.99999990454,45055.999999993481,4095.9999999183819
EXIT-org/apache/hadoop/dfs/INode$updatePermissionStatus,28183.000001033826,-6.1117343825856096e-05,160.0000000914024,8.9999900153088674,12.00000831020018,1349271552.0,24300.999998363448,140736256070976.0,140246638600520.0,1.0,29.000000282031607,3979228.0000000149,360.00000001001172,503807.99999990454,45055.999999994878,4095.9999999184001
EXIT-org/apache/hadoop/dfs/INode$setUser,28192.000001027263,-6.0937252506221284e-05,160.00000009162613,8.9999900424982116,12.000008184551092,1349271552.0,24300.999998371102,140736256070976.0,140246638600520.0,1.0,29.000000281776408,3979602.9999999851,360.00000001047738,503807.99999990477,45055.999999994412,4095.9999999186875
ENTER-org/apache/hadoop/dfs/INode$setGroup,28198.00000102284,-6.0817039169602793e-05,160.00000009179166,8.9999900606071606,12.00000810038604,1349271552.0,24300.99999837621,140736256070976.0,140246638600520.0,1.0,29.000000281606845,3979978.0000000447,360.00000001024455,503807.99999990489,45055.999999993946,4095.9999999188658
ENTER-org/apache/hadoop/dfs/SerialNumberManager$getGroupSerialNumber,28210.00000101405,-6.0577069866507571e-05,160.00000009210453,8.9999900968768998,12.000007933253045,1349271552.0,24300.999998386389,140736256070976.0,140246638600520.0,1.0,29.00000028126621,3980353.0000000149,360.00000000977889,503807.99999990524,45055.999999994412,4095.9999999192187
